ref_hash,diff_in_sec
1000169251625791246,29646.178000000004
1003027494996471685,37122.238
1006670001679961544,2422.069
1011610998357271358,2828.8160000000003
1014428234021750342,21166.99
1017668882534236751,48489.561
1024792555410741306,8239.923
1030603044158081433,4510.467000000001
1030865855693267844,70119.247
1048487908287530052,44407.252
105337483767914646,52357.527
1055760083915480820,2235.065
1056749944537419493,29516.179
1058525390691423513,65462.19300000001
1062274422372114651,38999.0475
1070673984959261173,18121.435750000004
1071701264087131067,13791.109
108091152851614035,3165.5080000000003
1082062519835461489,15864.288
1083324672128707147,53772.931000000004
1084673948755476350,77859.83600000001
1090348823218637154,36771.9455
1118296407046663101,19734.189000000002
11222455493472018,15880.318000000001
1126877271043713659,73388.933
1128648311587971120,21811.784000000003
1131546864431701911,7955.109
1145009605155104884,77976.827
1149958127364605785,11364.335000000001
1153540947733791830,80497.236
1156275031468463136,1471.112
1156694545460335017,64236.933000000005
115885348859837276,46530.243
1161843904632575594,11183.965
1168157541031578455,14680.049
1175385689997483703,79575.335
1187615102176685882,63238.367000000006
1187995611677437206,52965.889
1205014055416064598,28580.585000000003
1206234638304930993,67828.784
1209201922567589129,45596.285
1209266135065312559,24187.945333333333
1229609562842818924,2011.5300000000002
1231413972006880331,19041.106
1234527712464722201,59529.01
1236618452781354742,5527.016666666666
123979484119113285,50670.412000000004
1257211796115020351,5752.053000000001
1268668663105484535,77273.023
1269617022810318893,195.50500000000002
127181479361225903,71190.887
1283079572748604544,16438.593
12880076216702587,1307.576
1295673566983281594,65255.28200000001
1313615473299479354,20056.292
1313764485732247479,10647.517000000002
1319359126470626650,76619.452
1321931638565151894,57188.125
1325299270880328289,40638.182
1328371665987429740,980.739
1337817839840024265,12877.938
1340306399366036773,59426.50433333334
1343304896887941153,39685.705
1344094560572816090,10921.457
1363698198585598240,48453.655000000006
1368635821614525643,53576.90700000001
1385715509195499069,77015.478
1389885607828963485,720.7265000000001
1394811243445482525,57864.977000000006
1405946286287450031,17746.428
1414751606152167615,71461.51800000001
1437969918229546366,13219.066
144510415764152026,70692.352
146206268035953838,67602.316
1462900288741887152,27275.090666666667
1466387357519076668,73227.08
1469112136497229420,73731.67300000001
1474838723237605457,3968.2120000000004
1485566267036074672,32079.767
1490775021605137609,67990.011
149145192403446337,65649.37700000001
1491766937226493605,32480.1575
1503622930668825341,21929.668
1505707263781865790,42132.6045
1513880118499895475,50124.861000000004
1544952069069412264,3972.706
1563149421968177217,1571.718
1571815441379711120,17346.227000000003
1572073024204691574,19444.276
15755635624013585,37.50300000000001
1579648092439095955,9306.185000000001
1586308550876044716,85211.61
158642282115857939,25088.899
1593315082014178993,31799.735500000003
1609949567718682385,1513.0220000000002
1610107188799256895,85101.66900000001
1610631182235861036,10320.918500000002
162252644031331242,68784.709
1624621636247371157,80960.769
1626240234331226893,99309.083
1632976817520709726,18743.204
1638155133101635232,82872.35
1640419309626397644,79471.727
1644684818861378247,7647.366000000001
1645117383971795261,37814.863000000005
