ref_hash,diff_in_sec
1000169251625791246,29646.178000000004
1000395625957344683,10783.464000000002
1006670001679961544,2422.069
1010265377387765028,9086.269
1011610998357271358,2828.8160000000003
1017668882534236751,48489.561
1024792555410741306,8239.923
1026825193119998092,29889.435
1030603044158081433,4510.467000000001
1030865855693267844,70119.247
1048487908287530052,44407.252
105337483767914646,35380.817
1054881396892383323,45320.625
1055760083915480820,2235.065
1056749944537419493,29516.179
1058525390691423513,65462.19300000001
1062274422372114651,38999.0475
1070673984959261173,18121.435750000004
1071701264087131067,13791.109
108091152851614035,3165.5080000000003
1082062519835461489,15864.288
1083324672128707147,53772.931000000004
1090348823218637154,36771.9455
1091213713572176533,37237.62100000001
1108571703275362862,8586.999
1114026657194419748,42405.310000000005
11222455493472018,15880.318000000001
1126877271043713659,73388.933
1131546864431701911,7955.109
1136031752303953778,81916.126
1145009605155104884,77976.827
1149958127364605785,11364.335000000001
1167633864786053186,8835.896
1168157541031578455,14680.049
1176818370378839086,52043.836
1187615102176685882,63238.367000000006
1191960282997642823,30692.763000000003
1199641757841499367,79819.09400000001
1205014055416064598,28580.585000000003
1206234638304930993,67828.784
1209201922567589129,45596.285
1209266135065312559,24187.945333333333
122031620643150233,11078.926000000001
1231413972006880331,19041.106
1232605060713570544,65418.32200000001
1234527712464722201,59529.01
1236618452781354742,5527.016666666666
123979484119113285,50670.412000000004
1251678112439909237,69744.304
1251711610192393941,86192.418
1260244248473048882,36315.238000000005
1265362887592424102,76095.026
1268668663105484535,77273.023
1269617022810318893,195.50500000000002
12880076216702587,1307.576
1293570292730365189,13948.261
1311716395227719150,61913.383
1313764485732247479,10647.517000000002
1319359126470626650,76619.452
1319530529617838683,365.684
1319647639949654011,48387.895000000004
1321931638565151894,57188.125
1325299270880328289,40638.182
1328371665987429740,980.739
1340306399366036773,42926.633
1344094560572816090,10921.457
1346626463765194606,68603.504
1352341197795597622,14329.87
1368635821614525643,53576.90700000001
1382829534454032345,83444.27900000001
1385715509195499069,77015.478
1387114378850828264,71461.882
1389885607828963485,720.7265000000001
1394811243445482525,57864.977000000006
1414751606152167615,71461.51800000001
1415274408925640121,51796.618
1442246240574869187,33100.1055
144510415764152026,70692.352
1462310992362977115,86001.231
1462900288741887152,27275.090666666667
1474838723237605457,3968.2120000000004
148388802174309925,46518.645000000004
1491766937226493605,32480.1575
1496724042025426431,71897.11600000001
1503622930668825341,21929.668
1507725753842469617,17017.1738
1513880118499895475,50124.861000000004
1522517226455603717,42428.812000000005
1535179488604428892,16188.508000000002
1540895757038675521,19859.132
1544952069069412264,3972.706
1554217736630697432,70165.728
1563149421968177217,1571.718
1571815441379711120,17346.227000000003
1572073024204691574,19444.276
15755635624013585,37.50300000000001
1578493458135285912,47671.131
1579648092439095955,9306.185000000001
1586308550876044716,85211.61
1594304834872461088,7618.084000000001
1595135091194264808,82424.833
1610107188799256895,85101.66900000001
1619005863892213340,76870.739
162252644031331242,68784.709
1624621636247371157,80960.769
1626240234331226893,55481.046
1638155133101635232,82872.35
1640419309626397644,79471.727
1644684818861378247,7647.366000000001
1645117383971795261,37814.863000000005
1647303115721594711,84208.11
1683915131500129075,72064.06700000001
1686771719211427260,81245.017
1689253659802783461,55854.813
1694964200543302757,60593.739
1695017415660355067,15663.42
1695705421328710963,10475.676000000001
169673203379774697,83163.24900000001
1698798402698483317,24673.949333333334
1722479355356580286,1903.088
1749586132256864259,25600.93266666667
1753408082039589793,39593.7255
1767794950631940094,69361.138
1775645446409162865,38778.722
1775994821130557970,72242.25600000001
1780314763292967611,67815.06
1806958712697643218,24455.66
181023401587164211,86026.742
1810262579726032935,78905.625
1816798674368617450,86057.668
1820344257958020005,19527.3395
1821008560370062627,77442.25600000001
1835003644552160312,38654.002
1837369540178436993,65513.62100000001
1841885490735112196,10354.737000000001
1846994645265687363,56870.124
185033006947686423,48485.636000000006
1859101250688735203,14699.296
1867340056699297275,9729.433
187130177321836551,83342.33200000001
1876386513784414676,9779.467
1878961516364658634,81314.227
1882496627338632707,2731.4325000000003
1886159544857142346,42259.681000000004
1886537567420518716,50918.528000000006
1893934192028933519,4090.157
1907213915645258710,9062.092
1908676476331029933,61717.376000000004
1909009849978261715,75404.60900000001
1915831976831627490,6417.424
1922121821362800543,7574.494000000001
1926368733138306231,67191.263
1941507818640752866,8999.944000000001
1943518436811267146,76822.638
1947198327605580227,12536.275000000001
1952086342590680257,2572.3720000000003
1952651058710283424,27698.365
1960519924072160699,13002.117000000002
1977621232662414895,40704.406
1979422175702700379,41926.402
1988050726013424615,17441.303
1988491775644963137,24719.038333333334
1999681247947819001,47945.4156
2007132211960226496,45031.073500000006
2007714311863940422,81661.371
2013716675686195488,24412.48466666667
2014218741270637745,80530.8045
2019640023966567568,56968.851
204447629360573336,4882.934
204653624831822839,9324.4635
2047492100738602595,56266.289000000004
205190074984967157,83055.096
2064689366289402129,13536.021
